# Datafile created by QuickNXS 2.1.0
# Datafile created using Mantid 4.2.0
# Date: 2023-02-22 22:39:06
# Type: Specular
# Input file indices: 41931,41932,41933,41934,41935,41936
# Extracted states: Off-Off
#
# [Direct Beam Runs]
#    DB_ID        P0        PN     x_pos   x_width     y_pos   y_width    bg_pos  bg_width      dpix       tth    number      File
#        1         0         0       220        10       122       108        18        60       219         0     41916  /SNS/REF_M/IPTS-31275/nexus/REF_M_41916.nxs.h5
#        2         0         0       220        13       128        97        18        60       219         0     41918  /SNS/REF_M/IPTS-31275/nexus/REF_M_41918.nxs.h5
#        3         0         0       220        13       128        97        18        60       219         0     41918  /SNS/REF_M/IPTS-31275/nexus/REF_M_41918.nxs.h5
#        4         0         0       220        13       128        97        18        60       219         0     41918  /SNS/REF_M/IPTS-31275/nexus/REF_M_41918.nxs.h5
#        5         0         0       220        13       128        97        18        60       219         0     41918  /SNS/REF_M/IPTS-31275/nexus/REF_M_41918.nxs.h5
#        6         0         0       220        13       128        97        18        60       219         0     41918  /SNS/REF_M/IPTS-31275/nexus/REF_M_41918.nxs.h5
#
# [Data Runs]
#    scale        P0        PN     x_pos   x_width     y_pos   y_width    bg_pos  bg_width       fan      dpix       tth    number     DB_ID      File
#   2.7861         1         0       177         9       127        80        18        60     False       219  -0.174156     41931         1  /SNS/REF_M/IPTS-31275/nexus/REF_M_41931.nxs.h5
#   0.6259         1         0       177         8       127        80        18        60     False       219  -0.174156     41932         2  /SNS/REF_M/IPTS-31275/nexus/REF_M_41932.nxs.h5
#    0.411         1         0       178         8       130        80        25        30     False       219  0.244434     41933         3  /SNS/REF_M/IPTS-31275/nexus/REF_M_41933.nxs.h5
#   0.2496         1         0       179         8       127        80        19        30     False       219  0.960737     41934         4  /SNS/REF_M/IPTS-31275/nexus/REF_M_41934.nxs.h5
#   0.1482         1         0       179         8       127        80        19        30     False       219   2.22341     41935         5  /SNS/REF_M/IPTS-31275/nexus/REF_M_41935.nxs.h5
# 0.0981748         1         0       181        12       133        65       272        30     False       219   4.43631     41936         6  /SNS/REF_M/IPTS-31275/nexus/REF_M_41936.nxs.h5
#
# [Global Options]
# name           value
# sample_length  10.0
#
# [Data]
#     Qz [1/A]	    R [a.u.]	   dR [a.u.]	   dQz [1/A]
3.276162e-02       3.377988e-03       6.698323e-05       1.084331e-03      
3.354801e-02       3.197757e-03       6.459303e-05       1.111454e-03      
3.417254e-02       2.895624e-03       4.800803e-05       1.132595e-03      
3.437309e-02       2.904179e-03       6.059447e-05       1.139994e-03      
3.466309e-02       2.714139e-03       4.433937e-05       1.149099e-03      
3.516794e-02       2.565069e-03       4.151262e-05       1.166095e-03      
3.523978e-02       2.534349e-03       5.569064e-05       1.170066e-03      
3.568771e-02       2.414153e-03       3.865466e-05       1.183605e-03      
3.615130e-02       2.346138e-03       5.375468e-05       1.201799e-03      
3.622308e-02       2.329805e-03       3.693360e-05       1.201653e-03      
3.677475e-02       2.223677e-03       3.545841e-05       1.220264e-03      
3.711122e-02       2.057294e-03       5.065770e-05       1.235337e-03      
3.734349e-02       2.080020e-03       3.377016e-05       1.239465e-03      
3.793009e-02       1.902016e-03       3.124908e-05       1.259286e-03      
3.853542e-02       1.825429e-03       3.054761e-05       1.279756e-03      
3.916038e-02       1.679991e-03       2.919745e-05       1.300908e-03      
3.980595e-02       1.581174e-03       2.785059e-05       1.322778e-03      
4.047316e-02       1.449097e-03       2.631905e-05       1.345403e-03      
4.116312e-02       1.397862e-03       2.553893e-05       1.368823e-03      
4.187700e-02       1.287657e-03       2.419880e-05       1.393081e-03      
4.261609e-02       1.198426e-03       2.292592e-05       1.418223e-03      
4.338174e-02       1.106904e-03       2.194891e-05       1.444299e-03      
4.417539e-02       1.016145e-03       2.121329e-05       1.471362e-03      
4.499863e-02       9.506516e-04       2.114025e-05       1.499471e-03      
4.585314e-02       8.892251e-04       1.973252e-05       1.528687e-03      
4.674073e-02       8.536414e-04       1.874191e-05       1.559078e-03      
4.766336e-02       7.825040e-04       1.746737e-05       1.590718e-03      
4.862314e-02       7.486010e-04       1.681181e-05       1.623684e-03      
4.962237e-02       6.887818e-04       1.603827e-05       1.658065e-03      
5.066354e-02       6.032596e-04       1.483396e-05       1.693954e-03      
5.174933e-02       5.604565e-04       1.412843e-05       1.731452e-03      
5.288268e-02       5.199131e-04       1.335481e-05       1.770674e-03      
5.406679e-02       4.738877e-04       1.256629e-05       1.811741e-03      
5.530514e-02       4.143955e-04       1.158338e-05       1.854790e-03      
5.660154e-02       3.677360e-04       1.075653e-05       1.899968e-03      
5.796018e-02       3.063818e-04       9.794771e-06       1.947439e-03      
5.938565e-02       2.916750e-04       9.378613e-06       1.997387e-03      
6.017439e-02       2.707136e-04       6.092115e-06       1.986688e-03      
6.088300e-02       2.625730e-04       8.774183e-06       2.050012e-03      
6.103822e-02       2.499934e-04       5.605685e-06       2.015642e-03      
6.192720e-02       2.485255e-04       5.377864e-06       2.045457e-03      
6.245782e-02       2.164132e-04       8.047897e-06       2.105540e-03      
6.284247e-02       2.244270e-04       4.910667e-06       2.076175e-03      
6.378519e-02       1.928438e-04       4.445293e-06       2.107837e-03      
6.411626e-02       1.994434e-04       7.752485e-06       2.164220e-03      
6.475663e-02       1.813988e-04       4.224097e-06       2.140487e-03      
6.575812e-02       1.662050e-04       4.007984e-06       2.174173e-03      
6.679107e-02       1.482886e-04       3.667513e-06       2.208945e-03      
6.785699e-02       1.326581e-04       3.473950e-06       2.244858e-03      
6.895749e-02       1.163309e-04       3.253456e-06       2.281967e-03      
7.009427e-02       1.139531e-04       3.152401e-06       2.320336e-03      
7.126916e-02       9.699197e-05       2.890696e-06       2.360029e-03      
7.248410e-02       9.031073e-05       2.760716e-06       2.401117e-03      
7.374119e-02       8.583977e-05       2.660348e-06       2.443676e-03      
7.504264e-02       7.741979e-05       2.491471e-06       2.487787e-03      
7.639087e-02       7.229656e-05       2.394226e-06       2.533536e-03      
7.778842e-02       6.436509e-05       2.303448e-06       2.581019e-03      
7.923806e-02       5.965324e-05       2.292981e-06       2.630335e-03      
8.074276e-02       6.352711e-05       2.272021e-06       2.681595e-03      
8.230571e-02       5.679269e-05       2.093609e-06       2.734918e-03      
8.393037e-02       5.759611e-05       2.038596e-06       2.790431e-03      
8.562045e-02       5.280223e-05       1.946323e-06       2.848274e-03      
8.738000e-02       5.542184e-05       1.978045e-06       2.908598e-03      
8.921339e-02       5.324445e-05       1.902606e-06       2.971569e-03      
9.112536e-02       4.993111e-05       1.817680e-06       3.037366e-03      
9.312108e-02       5.025005e-05       1.797130e-06       3.106187e-03      
9.520617e-02       4.486059e-05       1.690565e-06       3.178248e-03      
9.738678e-02       4.058493e-05       1.594138e-06       3.253786e-03      
9.966961e-02       3.820158e-05       1.524732e-06       3.333063e-03      
1.020620e-01       3.875982e-05       1.507245e-06       3.416366e-03      
1.045721e-01       2.688882e-05       1.277968e-06       3.504016e-03      
1.050061e-01       2.612233e-05       8.761029e-07       3.485384e-03      
1.065135e-01       2.584097e-05       8.319274e-07       3.536171e-03      
1.072088e-01       2.362336e-05       1.198808e-06       3.596366e-03      
1.080648e-01       2.203968e-05       7.488837e-07       3.588470e-03      
1.096620e-01       1.979273e-05       6.792622e-07       3.642351e-03      
1.099819e-01       1.941749e-05       1.113777e-06       3.693812e-03      
1.113071e-01       1.637055e-05       6.081264e-07       3.697887e-03      
1.129023e-01       1.405809e-05       9.953815e-07       3.796792e-03      
1.130023e-01       1.422645e-05       5.618212e-07       3.755157e-03      
1.147499e-01       1.220989e-05       5.163174e-07       3.814243e-03      
1.165524e-01       1.167036e-05       4.891806e-07       3.875234e-03      
1.184125e-01       8.660912e-06       4.347354e-07       3.938224e-03      
1.203329e-01       7.392854e-06       4.042351e-07       4.003313e-03      
1.223166e-01       5.845658e-06       3.668503e-07       4.070611e-03      
1.243668e-01       4.470254e-06       3.295573e-07       4.140230e-03      
1.264869e-01       4.423772e-06       3.188583e-07       4.212296e-03      
1.286806e-01       3.818522e-06       2.959427e-07       4.286941e-03      
1.309517e-01       3.788066e-06       2.885329e-07       4.364305e-03      
1.333044e-01       3.531322e-06       2.823326e-07       4.444544e-03      
1.357431e-01       3.923655e-06       2.840258e-07       4.527821e-03      
1.382728e-01       4.007142e-06       2.938272e-07       4.614313e-03      
1.408985e-01       3.908848e-06       2.822493e-07       4.704213e-03      
1.436259e-01       4.287226e-06       2.766920e-07       4.797729e-03      
1.464610e-01       4.158745e-06       2.632713e-07       4.895084e-03      
1.494103e-01       4.229505e-06       2.628506e-07       4.996524e-03      
1.524807e-01       4.329570e-06       2.627890e-07       5.102314e-03      
1.556800e-01       3.139285e-06       2.278322e-07       5.212742e-03      
1.590165e-01       3.244266e-06       2.244874e-07       5.328126e-03      
1.624991e-01       2.814718e-06       2.075609e-07       5.448809e-03      
1.661376e-01       2.495337e-06       1.929381e-07       5.575171e-03      
1.699428e-01       2.227023e-06       1.845719e-07       5.707628e-03      
1.739265e-01       2.035463e-06       1.724265e-07       5.846636e-03      
1.781013e-01       2.109679e-06       1.765289e-07       5.992701e-03      
1.824815e-01       1.809587e-06       1.611549e-07       6.146384e-03      
1.870826e-01       2.030118e-06       1.591932e-07       6.308303e-03      
1.919218e-01       1.930310e-06       1.590665e-07       6.479150e-03      
1.970179e-01       1.799754e-06       1.540799e-07       6.659695e-03      
